영농작물,재배제목,재배내용
강낭콩,1차 밑거름,① 강낭콩은 다른 콩과 작물에 비해 거름 요구량이 높은편이며 산성인 토양을 싫어합니다. (\n) ② 파종 2주전 : 고토석회 200g/3㎡를 섞어 밭을 갈아둡니다.
강낭콩,멀칭하기,"저온장해  잡초 방지를 위해 비닐 이나 짚, 신문지 등으로 멀칭을 해주도록 합니다. 합니다. 비멀칭으로 재배를 할 경우 잡초관리에 신경써 주도록 합니다."
강낭콩,이랑 만들기,"① 강낭콩은 과습에 약한 작물이므로 원활한 배수를 위해 깊이 갈이를 해주세요. ② 이랑폭은 150㎝~180㎝로 합니다.\n ③ 두둑넓이 100㎝~120㎝, 두둑높이 10~15㎝, 고랑간격 50~60㎝* 씨뿌리기 직전에 내텃밭에 맞는 이랑의 폭을 선택하고  두둑을 지어주세요. 물빠짐이 좋지 않은 곳은 조금 높게 두둑을 만들어주시는 것이 좋습니다."
강낭콩,2차 밑거름,"파종 1주전 : 완숙퇴비 2kg/㎡, 깻묵 400g/㎡을 섞어 밭을 갑니다."
강낭콩,씨앗/모종준비,"① 강낭콩 종자는 오래될수록 발아율이 크게 떨어집니다. 될 수 있으면 오래되지 않은 것으로 준비합니다. ② 씨앗봉지 뒷면의 일자를 잘 보아서 구입하세요. [만성종]덩굴성이고 비교적 고온과 병해에는 강함. 키가 크고 측지의 발생이 많아 생육기간과 수확기간이 길며 수량성도 높습니다. 이러한 특성 때문에 고온기의 노지에서 비교적 긴 기간의 재배에 적합합니다.[왜성종]직립형이고 생육기간이 50일 내외로 짧음. 만성종에 비하여 고온에 약하고 저온기에 열매가 잘 달리는품종이 많습니다. 이러한 특성 때문에 왜성종은 저온기 노지재배에 적합하며, 도시근교의 단기 윤작작물로서 인기가 높습니다."
강낭콩,씨뿌리기,"① 서리를 피해 4월 중순쯤 파종하는 것이 좋습니다. 하지만 남부지방은 조금 이른 3월 하순경에 파종하기도 합니다. ② 콩은 과습에 약한 작물입니다. 장마가 시작되기 전에 수확해야 하므로 될 수 있으면 4월 하순까지 파종을 마치고 파종이 늦어지는 경우 재배기간이 짧은 품종을 선택하도록 합니다.  ▶ 왜성종(矮性種) : 30~35㎝ 폭으로 3열, 주간 30㎝ ▶ 만성종(慢性種) : 60㎝ 폭으로 2열, 주간 40~45㎝③ 3cm로 구멍을 내어 씨앗 2~3개씩 심고 흙을 가볍게 덮어줍니다. 파종 후 충분한 물주기를 하도록 합니다. ④ 새나 해충에 의한 피해를 방지하기위해 한랭사를 설치하는 것도 좋습니다. 씨앗이 자라 한랭사 높이만큼 키가 컸을때 한랭사를 걷어주면 됩니다. 작은 공간에 소량 파종할 경우 페트병을 이용한 인큐베이터를 만들어 줄 수 도 있습니다."
강낭콩,북주기,"▷웃거름을  한 후 호미로 이랑을 가볍게 긁어주어 잡초를 없애고, 포기주변에 흙을 올려 북주기를 해줍니다.   \n▷파종 후  30∼40일쯤 가벼운 김매기와 동시에 북주기를 하는 것이 토양의 통기성을 좋게하여 뿌리의 발달을 촉진시키고, 잡초를 방제하며 작물이 쓰러지는 것을 방지할 수 있습니다."
강낭콩,웃거름,"▷왜생종의 경우는 재배 기간이 짧아 밑거름만으로도 충분하지만 재배기간이 비교적 길고 키가 많이 자라는 만생종 덩굴 강낭콩의 경우는 지주를 세워주고 일주일 후에 거름을 한 주먹씩 포기 사이에 넣어줍니다. ▷웃거름이 잘 스며들 수 있도록 물주기를 합니다. 혹 비소식이 있다면 비가 오기전에 웃거름을 해둡니다. ▷강낭콩은 거름이 많이 필요없는 작물입니다. 비료가 너무 많으면 잎이 말리거나, 꼬투리 형성이 잘 안되거나 진딧물이 많이 발생할 수 있으므로 성장을 잘 관찰하여 필요 없는 경우 웃거름을 하지 않으셔도 됩니다."
강낭콩,유인하기,덩굴이 뻗어나가기 시작하면(본잎 1~2매 전개) 자연스럽게 지주를 타고 올라가게 됩니다. 그렇지 못한경우 유인시켜주세요.
강낭콩,지주세우기,▷지주는 작물이 어릴때 세워주어야 작물의 손상을 최소화할 수 있습니다. 솎아내기 후 지주를 세워주세요. \n▷일반적으로 만생종인 덩굴 강낭콩의 경우 위로 자랄수 있도록 지주를 세워주어야 합니다. 두줄 이랑이므로 2m 높이의 지주를 x로 교차시켜 주고 줄을 수평으로 3단정도 메어줍니다. 덩굴을 유인하는 지주는 취향과 텃밭의 지형에 맞추어 창의적으로 디자인하셔도 됩니다.▷왜생종은 직립형이고  키가 작으므로 보통 지주가 필요없지만 무성하게 자라서  쓰러질 위험이 있는경우에는 포기당 하나씩 일자지주를 세워줍니다.
